Team1,Team2,odd1,odd2,league,date
07:00,"Imanishi, Miharu","Mandlik, Elizabe.",2.84,1.35,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
08:30,"Lamens, Suzan","Vedder, Eva",1.83,1.83,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
08:30,"Defalco, Jenna","Lys, Eva",1.80,1.86,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
08:30,"Duerst, Jenny","Smith, Tina Nadi.",1.70,1.98,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
08:30,"Vanlangendonck, Eliessa","Kimchi, Shavit",2.40,1.48,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
08:30,"Glushko, Lina","Hogenkamp, Richel",2.76,1.37,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
08:30,"Khirin, Nicole","Muramatsu, Chihiro",1.70,1.98,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
08:30,"Kruger, Zoe","Omae, Akiko",1.25,3.41,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
14:00,"Baptiste, Hailey","Paolini, Jasmine",2.47,1.48,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
14:00,"Vandeweghe, Coco","Linette, Magda",2.89,1.36,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
14:00,"Teichmann, Jil","Kanepi, Kaia",1.42,2.65,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
14:00,"Dart, Harriet","Haddad Maia, Beatriz",2.41,1.50,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
15:00,"Davis, Lauren","Haddad Maia, Beatriz",2.34,1.53,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
15:15,"Anisimova, Amanda","Golubic, Viktorija",1.38,2.81,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
15:15,"Osorio Serrano, Maria Camila","Martincova, Tereza",3.04,1.33,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
15:15,"Ruse, Elena-Gabriela","Giorgi, Camila",3.93,1.21,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
15:15,"Stephens, Sloane","Zidansek, Tamara",1.55,2.29,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
16:30,"Mertens, Elise","Yastremska, Dayana",1.41,2.69,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
16:30,"Hsieh, Su-Wei","Jabeur, Ons",4.04,1.20,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
17:30,"Azarenka, Victoria","Zhang, Shuai",1.20,4.04,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
17:30,"Brengle, Madison","Kontaveit, Anett",5.55,1.11,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
18:45,"LI, Ann","Muguruza, Garbine",4.16,1.19,"Tennis - WTA, Chicago 2, USA ",Tue 28.09
15:00,"Pegula, Jessica","Petkovic, Andrea",1.21,3.93,"Tennis - WTA, Chicago 2, USA ",Wed 29.09
15:00,"Andreescu, Bianca Vanessa","Rogers, Shelby",1.65,2.11,"Tennis - WTA, Chicago 2, USA ",Wed 29.09
15:00,"Sasnovich, Aliaksandra","Rybakina, Elena",4.28,1.18,"Tennis - WTA, Chicago 2, USA ",Wed 29.09
15:00,"Bencic, Belinda","Inglis, Maddison",1.14,4.91,"Tennis - WTA, Chicago 2, USA ",Wed 29.09
15:00,"Vondrousova, Marketa",Pavlyuchenkova A.,1.85,1.85,"Tennis - WTA, Chicago 2, USA ",Wed 29.09
